instruction,input,output,answer_text,row_id,case_id,answer_status,answer_method,answer_confidence,fixed_case_id,reference_letter
"Please answer the following multiple-choice question:
A 45-year-old premenopausal woman undergoes a left breast lumpectomy for a 1.5 cm, lymph node positive, hormone sensitive invasive breast cancer. She receives chemotherapy, radiotherapy, and is on tamoxifen. Recommended follow-up after therapy should always include:?
A. Blood tumor markers drawn every 3-6 months after treatment.
B. Routine monitoring of liver function tests (LFTs) every 3-6 months after treatment.
C. Yearly bone scans.
D. Routine clinical examination every 3-6 months for the first 5 years after treatment as well as continued yearly mammography.",,D,Routine clinical examination every 3-6 months for the first 5 years after treatment as well as continued yearly mammography.,8924,7e99f4190d26e3b68413541c742af3e96ebc326182714497d37765ec0266a902,SOURCE_DERIVED_HIGH,final_marker_text,0.9,0104f9a1b6c143cff5fa106c67c5c346f0dd65db979a8447ec2c4c518a86d927,D
"Please answer the following multiple-choice question:
""SAFE"" strategy for control of trachoma; 'S'-stands for: September 2008?
A. Safety
B. Solutions
C. Surgery
D. Side-effects",,C,Surgery,4050,50fad02f987ca1b0e58b603659ad03f0f8421fbfad06b4952f80d5b2c91e9243,SOURCE_DERIVED_HIGH,explicit_phrase_text,1.0,06192f675c4c4ba6cc91bc1f7bff2dee5d5f531c9acf597392dd89d822c85d5b,C
"Please answer the following multiple-choice question:
A 45 year old female complains of progressive weakness and spasticity of the lower limb with difficulty in micturition. CT scan shows an intradural mid dorsal midline enhancing lesion. The likely diagnosis is:?
A. Meningioma
B. Intradermal Lipoma
C. Neuroepithelial Cyst
D. Dermoid Cyst",,A,Meningioma,8745,5574db35feebb43e1e0cb2f0a1acc42e5347bc46998acf2daf2fd4c04ef9b179,SOURCE_DERIVED_HIGH,final_marker_text,1.0,0b4e5755618f1e2f90f1239a36b35d29e0b3612edd63ee02c881aa49fb0fa546,A
"Please answer the following multiple-choice question:
""Nut meg"" liver is seen in:?
A. CVC Liver
B. Liver infarction
C. Amyloidosis
D. Budd chiari syndrome",,A,CVC Liver,4005,2f6219753ccab01e7c5f11b97529f3afb03b3bc9a0b93d1b336272347e3f3e8b,SOURCE_DERIVED_MODERATE,conclusion_sentence,0.76,0ca000db77bd5f0a466e3e0c69c6b744b54eb2dd4a6e19c565d16c54b4b44a37,A
"Please answer the following multiple-choice question:
A 20-year-old female comes to the physician because she has never had a perioD. She has no medical problems, has never had surgery, and takes no medications. Examination shows that she is a tall female with long extremities. She has normal size breasts, although the areolas are pale. She has little axillary hair. Pelvic examination is significant for scant pubic hair and a sho, blind- ended vaginal pouch. Which of the following is the most appropriate next step in the management of this patient?
A. No intervention is necessary
B. Bilateral gonadectomy
C. Unilateral gonadectomy
D. Bilateral mastectomy",,B,Bilateral gonadectomy,6048,b395c76aa20c6231a67e75cb55b376389c2f895e83cb1dc87c1870287ca24e48,SOURCE_DERIVED_HIGH,final_marker_text,0.9,15f917c50671dfb50de46c2016f8626e810a4e7f62dd9cddaa48baa585b7ef7f,B
"Please answer the following multiple-choice question:
A 32-year-old male basketball player comes down hard on his ankle. He is admitted to the outpatient clinic, and radiographic examination reveals a Pott's fracture. What ligament is most likely injured?
A. Calcaneofibular ligament
B. Deltoid ligament
C. Spring ligament
D. Plantar ligament",,B,Deltoid ligament,7653,48e4f732511ed6c9323979a4970da5c33f8d0191b30313c73efdc13aa913d066,SOURCE_DERIVED_HIGH,final_marker_text,0.9,1a59e8d129cbe7ea32b9fb99fc6006b6f3e96ce2bd649f899a35eec02666fe6a,B
"Please answer the following multiple-choice question:
What is deficient in exclusively breast fed baby ?
A. Vitamin B
B. Vitamin A
C. Vitamin C
D. Proteins",,A,Vitamin B,10,de619ee4521ea9b24e0756b86325e4ae4fd0ddb9595cc43dd48507a5851c023a,SOURCE_DERIVED_MODERATE,explicit_phrase_text,0.86,1a7ef1b9f2de638f9d3d48fea4b5d41cf71cfd5b3359580aba984e3315ff959e,A
"Please answer the following multiple-choice question:
A 52 year old woman presented with weakness of shoulder movements. Investigations revealed quadrangular space syndrome. Which of the following nerve is likely to be affected ?
A. Brachial plexus
B. Axillary nerve
C. Median nerve
D. Radial nerve",,B,Axillary nerve,9512,13d487f2d5f3e00a6d7a15225fd24f178e93a32d3202d9e6ccb67aa5a4b36f94,SOURCE_DERIVED_HIGH,final_marker_text,0.9,1ab48eb0f095948e0abee79c2401d512bf579d8ffbf284c83b98708ce35f99fe,B
"Please answer the following multiple-choice question:
False about reversible cell injury?
A. Amorphous densities formation in the mitochondrial matrix
B. ATP generation decreased
C. Blebs formation in plasma membrane
D. Ribosomes detachment from the granular ER",,C,Blebs formation in plasma membrane,1699,39ce129697bae9bce800697073b7f67908d00f11fb401c841e4a0e966baf6c0f,SOURCE_DERIVED_MODERATE,explicit_phrase_text,0.86,21ce6f1d539e8200ce1209d78499f62e8bdd475e4afae3bb1b136073bc983ea8,C
"Please answer the following multiple-choice question:
A 19-year-old male has a history of athlete's foot but is otherwise healthy when he develops the sudden onset of fever and pain in the right foot and leg. On physical exam, the foot and leg are fiery red with a well-defined indurated margin that appears to be rapidly advancing. There is tender inguinal lymphadenopathy. The most likely organism to cause this infection is?
A. Staphylococcus epidermidis
B. Tinea pedis
C. Streptococcus pyogenes
D. Mixed anaerobic infection",,C,Streptococcus pyogenes,5810,3b54633bc726c90ee290692822d16e69d419b266f6ed9e8daae45caa2f8b13ff,SOURCE_DERIVED_MODERATE,conclusion_sentence,0.76,22fc9e7a33e6229e2d233d5ea500f4f5495e87d35f069129389c92975d159e95,C
